Id,PID,Garage Finish,Garage Cars,SalePrice,Age Till Sale,Combined Qual,Combined Rms AbvGrd,Combined SF,MS SubClass_Duplex,MS SubClass_OneHalfStorey,MS SubClass_OneStorey,MS SubClass_SplitLevel,MS SubClass_TwoStorey,Neighborhood_City Center,Neighborhood_E 13th St/Duff Ave,Neighborhood_Grand Ave/24th St,Neighborhood_Grand Ave/30th St,Neighborhood_Hayward Ave,Neighborhood_Lincoln Way/500th Ave,Neighborhood_Ontario,Neighborhood_S Duff Ave/Airport Rd,Neighborhood_S Duff Ave/E Lincoln Way,Neighborhood_Stange Rd/Bloomington Rd,Neighborhood_Stange Rd/Pammel Ct,Neighborhood_Woodland St/West St,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Combined Exterior_MetalMetal,Combined Exterior_MetalOthers,Combined Exterior_MetalVinyl,Combined Exterior_MetalWood,Combined Exterior_OthersMetal,Combined Exterior_OthersOthers,Combined Exterior_OthersVinyl,Combined Exterior_OthersWood,Combined Exterior_VinylOthers,Combined Exterior_VinylVinyl,Combined Exterior_VinylWood,Combined Exterior_WoodOthers,Combined Exterior_WoodVinyl,Combined Exterior_WoodWood
109,533352170,2.0,2.0,130500,34.25,17.0,8.5,2679.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
544,531379050,2.0,2.0,220000,13.333333333333258,19.0,10.5,3594.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,535304180,1.0,1.0,109000,57.08333333333326,15.0,6.0,2360.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
318,916386060,3.0,2.0,174000,4.3333333333332575,15.0,9.5,2228.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
255,906425045,1.0,2.0,138500,110.25,14.0,8.0,2605.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,535126040,3.0,2.0,190000,44.5,17.0,8.5,3983.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2827,908186070,3.0,2.0,140000,1.5,16.0,7.0,2144.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,535154050,2.0,2.0,142000,51.41666666666674,14.0,7.0,2907.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1942,535353130,1.0,1.0,112500,55.5,14.0,7.0,2268.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1956,535426130,1.0,2.0,135000,38.75,14.0,11.0,3624.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
